pais;total
Estados Unidos;  26,95 trilhões
China ;  17,7 trilhões
Alemanha ;  4,43 trilhões
Japão ;  4,23 trilhões
Índia ;  3,73 trilhões
Reino Unido ;  3,33 trilhões
França ;  3,05 trilhões
Itália ;  2,19 trilhões
Brasil ;  2,13 trilhões
Canadá ;  2,12 trilhões
Rússia ; 1.86 trilhão
México ; 1.81 trilhão
Coreia do Sul ; 1.71 trilhão
Austrália ; 1.69 trilhão
Espanha ; 1.58 trilhão
Indonésia ; 1.42 trilhão
Turquia ; 1.15 trilhão
Holanda ; 1.09 trilhão
Arábia Saudita ; 1.07 trilhão
Suíça ;  905 bilhões 
